"","mid","sec","s","r"
"1",105996,0,140,92
"2",183022,29340,126,92
"3",183022,29340,126,92
"4",183018,109020,126,140
"5",182997,545460,126,92
"6",182996,607740,126,92
"7",105961,881160,140,138
"8",105961,881160,140,138
"9",105955,1146780,140,92
"10",182981,1208700,126,140
"11",182977,1226460,126,92
"12",182977,1226460,126,92
"13",105949,1302660,140,92
"14",105949,1302660,140,126
"15",105949,1302660,140,13
"16",105949,1302660,140,138
"17",105943,1309800,140,92
"18",105943,1309800,140,13
"19",105943,1309800,140,13
"20",105933,1469640,140,138
"21",105932,1488960,140,92
"22",105932,1488960,140,126
"23",105932,1488960,140,13
"24",105932,1488960,140,138
"25",182967,1497480,126,92
"26",182966,1822260,126,92
"27",105930,1827660,140,92
"28",105930,1827660,140,126
"29",105930,1827660,140,13
"30",105930,1827660,140,138
"31",105928,1897980,140,92
"32",105928,1897980,140,126
"33",105928,1897980,140,13
"34",105928,1897980,140,138
"35",105928,1897980,140,6
"36",105920,1996260,140,13
"37",105899,2596860,140,13
"38",237996,2962380,44,139
"39",182958,2966940,126,13
"40",237993,2972940,44,44
"41",182956,3044880,126,13
"42",237988,3057180,44,139
"43",182953,3218400,126,13
"44",237975,3306420,44,139
"45",237964,4147200,44,139
"46",182925,4404180,126,92
"47",105890,4859220,140,92
"48",105890,4859220,140,126
"49",105890,4859220,140,13
"50",105890,4859220,140,138
"51",105884,4956540,140,92
"52",105884,4956540,140,126
"53",105884,4956540,140,13
"54",105884,4956540,140,138
"55",182903,5030820,126,13
"56",182903,5030820,126,138
"57",182903,5030820,126,92
"58",182903,5030820,126,140
"59",186745,5703480,138,126
"60",105872,5720100,140,92
"61",105872,5720100,140,126
"62",105872,5720100,140,13
"63",105872,5720100,140,138
"64",182855,6317760,126,92
"65",9720,6325860,89,45
"66",9720,6325860,89,45
"67",182836,6650400,126,138
"68",105855,6674220,140,13
"69",182830,6737100,126,92
"70",105854,6739260,140,34
"71",182827,6739260,126,92
"72",182826,6745440,126,92
"73",182825,6756600,126,138
"74",182812,7176720,126,92
"75",182811,7201440,126,92
"76",182809,7265040,126,92
"77",182805,7272360,126,92
"78",186720,7286340,128,126
"79",182791,7515840,126,92
"80",179275,7868340,126,92
"81",182778,7949760,126,138
"82",182778,7949760,126,92
"83",182777,7956480,126,138
"84",105827,7957440,140,92
"85",105827,7957440,140,126
"86",105827,7957440,140,13
"87",105827,7957440,140,138
"88",182775,7965720,126,138
"89",182770,8035860,126,138
"90",182770,8035860,126,92
"91",182770,8035860,126,140
"92",182770,8035860,126,13
"93",105826,8048520,140,13
"94",182766,8062440,126,138
"95",105825,8063580,140,126
"96",105824,8124240,140,92
"97",105824,8124240,140,126
"98",105824,8124240,140,13
"99",105824,8124240,140,138
"100",395496,8380200,123,133
"101",395496,8380200,123,56
"102",395496,8380200,123,133
"103",395496,8380200,123,56
"104",105818,8481720,140,34
"105",105817,8485500,140,92
"106",105817,8485500,140,126
"107",105817,8485500,140,13
"108",105817,8485500,140,138
"109",105807,8658480,140,126
"110",182757,9013740,126,138
"111",186904,9101340,138,126
"112",186904,9101340,138,126
"113",105792,9159480,140,89
"114",105790,9163380,140,138
"115",105790,9163380,140,92
"116",105788,9191940,140,89
"117",182749,9242340,126,13
"118",105787,9243720,140,92
"119",182748,9245100,126,138
"120",105780,9351000,140,138
"121",105780,9351000,140,92
"122",105779,9351120,140,13
"123",105779,9351120,140,126
"124",179254,9360840,138,126
"125",105777,9593340,140,92
"126",105777,9593340,140,126
"127",105777,9593340,140,13
"128",105777,9593340,140,138
"129",105776,9594240,140,92
"130",105776,9594240,140,138
"131",182744,9603660,126,138
"132",182744,9603660,126,138
"133",179255,9607500,138,126
"134",179256,9609540,138,126
"135",179256,9609540,138,126
"136",182740,9677400,126,92
"137",182740,9677400,126,92
"138",105772,9681480,140,92
"139",105772,9681480,140,138
"140",105770,9683100,140,92
"141",105770,9683100,140,126
"142",105770,9683100,140,13
"143",105770,9683100,140,138
"144",182739,9688980,126,138
"145",182736,9691860,126,138
"146",182736,9691860,126,138
"147",182735,9708180,126,92
"148",182735,9708180,126,92
"149",182734,9786480,126,140
"150",105763,9791040,140,132
"151",105763,9791040,140,126
"152",182730,9797460,126,13
"153",182730,9797460,126,13
"154",182729,9797640,126,138
"155",182729,9797640,126,92
"156",182727,9847500,126,140
"157",182727,9847500,126,13
"158",182727,9847500,126,138
"159",182727,9847500,126,92
"160",182727,9847500,126,140
"161",182727,9847500,126,13
"162",182727,9847500,126,138
"163",182727,9847500,126,92
"164",182725,9850320,126,140
"165",182725,9850320,126,140
"166",105755,9852780,140,126
"167",182724,9853200,126,13
"168",182720,9869640,126,140
"169",186905,9879360,138,126
"170",105751,9950040,140,132
"171",105751,9950040,140,126
"172",182715,9951780,126,140
"173",182713,9962520,126,138
"174",182713,9962520,126,138
"175",105743,9964020,140,126
"176",105743,9964020,140,126
"177",182710,10280520,126,13
"178",182710,10280520,126,138
"179",182710,10280520,126,92
"180",182710,10280520,126,140
"181",182708,10280880,126,138
"182",182703,10294680,126,13
"183",182703,10294680,126,138
"184",182703,10294680,126,92
"185",182703,10294680,126,140
"186",105726,10364400,140,126
"187",105726,10364400,140,13
"188",182700,10367820,126,92
"189",182697,10376880,126,13
"190",182697,10376880,126,138
"191",182697,10376880,126,92
"192",182697,10376880,126,140
"193",182696,10379040,126,138
"194",182696,10379040,126,92
"195",182692,10380540,126,138
"196",182692,10380540,126,92
"197",182687,10454880,126,13
"198",105712,10482540,140,126
"199",105712,10482540,140,92
"200",105712,10482540,140,126
"201",105712,10482540,140,92
"202",105710,10543380,140,13
"203",105708,10544340,140,92
"204",105708,10544340,140,126
"205",105708,10544340,140,13
"206",105708,10544340,140,138
"207",182678,10558800,126,92
"208",182669,10820820,126,138
"209",105691,10827540,140,132
"210",105691,10827540,140,22
"211",105691,10827540,140,34
"212",105691,10827540,140,126
"213",105691,10827540,140,13
"214",105691,10827540,140,138
"215",105691,10827540,140,92
"216",105691,10827540,140,25
"217",182659,10920720,126,92
"218",182658,10970160,126,92
"219",105680,11057520,140,13
"220",182647,11071920,126,138
"221",182647,11071920,126,92
"222",105677,11152560,140,92
"223",105677,11152560,140,126
"224",105677,11152560,140,13
"225",105677,11152560,140,138
"226",182627,11177160,126,13
"227",182627,11177160,126,13
"228",105674,11411340,140,13
"229",237832,11413740,44,29
"230",105671,11420580,140,13
"231",105662,11667960,140,13
"232",182618,12180900,126,92
"233",182616,12184860,126,92
"234",182615,12193200,126,92
"235",182598,12287520,126,138
"236",182597,12291960,126,13
"237",182595,12292680,126,13
"238",17935,12358740,126,140
"239",17935,12358740,126,140
"240",182591,12358740,126,140
"241",182591,12358740,126,140
"242",182590,12359760,126,13
"243",182590,12359760,126,138
"244",182590,12359760,126,92
"245",182590,12359760,126,140
"246",182589,12359880,126,92
"247",105641,12632520,140,13
"248",17932,12827940,89,140
"249",105638,12876180,140,132
"250",105638,12876180,140,34
"251",105638,12876180,140,89
"252",105638,12876180,140,89
"253",182586,13223100,126,92
"254",182586,13223100,126,92
"255",182585,13223700,126,92
"256",182585,13223700,126,92
"257",182582,13232640,126,92
"258",182582,13232640,126,92
"259",186603,13324740,13,126
"260",186603,13324740,13,126
"261",186604,13324920,13,34
"262",186604,13324920,13,126
"263",186604,13324920,13,126
"264",17925,13423260,140,89
"265",17925,13423260,140,89
"266",182556,13821840,126,138
"267",182553,13824060,126,92
"268",105602,13825560,140,13
"269",182551,13839000,126,92
"270",105593,14017680,140,34
"271",182541,14081340,126,13
"272",182537,14082480,126,92
"273",182537,14082480,126,92
"274",182535,14084040,126,138
"275",105586,14103240,140,92
"276",182506,14171520,126,138
"277",182506,14171520,126,138
"278",182505,14171700,126,138
"279",182505,14171700,126,138
"280",182504,14172300,126,138
"281",182501,14183580,126,92
"282",182497,14196720,126,92
"283",105580,14197200,140,126
"284",182495,14197440,126,140
"285",105578,14198760,140,89
"286",182492,14426940,126,92
"287",182488,14436420,126,92
"288",186605,14442120,126,126
"289",186606,14442180,126,126
"290",182486,14444760,126,92
"291",182486,14444760,126,92
"292",105575,14449140,140,138
"293",182483,14455140,126,64
"294",182477,14525640,126,138
"295",105567,14615220,140,126
"296",105567,14615220,140,126
"297",105565,14622660,140,126
"298",105565,14622660,140,126
"299",186607,15031140,126,126
"300",186792,15229140,92,126
"301",186793,15229140,92,126
"302",182454,15239520,126,138
"303",182454,15239520,126,92
"304",182454,15239520,126,13
"305",182454,15239520,126,13
"306",105546,15321540,140,138
"307",105546,15321540,140,92
"308",182447,15378600,126,92
"309",182447,15378600,126,92
"310",182430,15640320,126,92
"311",182430,15640320,126,92
"312",21224,15723120,13,126
"313",21224,15723120,13,126
"314",182425,15731280,126,13
"315",182424,15739680,126,92
"316",105544,15836160,140,125
"317",105544,15836160,140,89
"318",105544,15836160,140,125
"319",105544,15836160,140,89
"320",182410,16008120,126,13
"321",182410,16008120,126,138
"322",182408,16241760,126,92
"323",105525,16606020,140,13
"324",105525,16606020,140,126
"325",105524,16608120,140,92
"326",105524,16608120,140,126
"327",105524,16608120,140,13
"328",105524,16608120,140,138
"329",182386,16851840,126,92
"330",182385,16867080,126,92
"331",106088,16954620,92,140
"332",106088,16954620,92,140
"333",182377,17029140,126,13
"334",182376,17365380,126,25
"335",182376,17365380,126,92
"336",182376,17365380,126,92
"337",182375,17365500,126,92
"338",182375,17365500,126,13
"339",182375,17365500,126,92
"340",182375,17365500,126,13
"341",182374,17369220,126,92
"342",182374,17369220,126,92
"343",34072,17491440,98,117
"344",34072,17491440,98,34
"345",105505,17657400,140,138
"346",105505,17657400,140,138
"347",182369,17804160,126,140
"348",105494,18157320,140,132
"349",105493,18157620,140,132
"350",105490,18163440,140,132
"351",105489,18168600,140,138
"352",105489,18168600,140,92
"353",182361,18176520,126,92
"354",34073,18227340,98,117
"355",54044,18239580,34,117
"356",17898,18240120,140,132
"357",105486,18240120,140,132
"358",179246,18241140,92,126
"359",179246,18241140,92,126
"360",105484,18249840,140,132
"361",34074,18259800,98,117
"362",34074,18259800,98,34
"363",105481,18329160,140,13
"364",105481,18329160,140,13
"365",34076,18332580,98,117
"366",182344,18352500,126,138
"367",182344,18352500,126,92
"368",182344,18352500,126,140
"369",182344,18352500,126,13
"370",337400,18663480,17,71
"371",105469,18665280,140,132
"372",105469,18665280,140,34
"373",105468,18666600,140,132
"374",105468,18666600,140,132
"375",383593,18680700,35,99
"376",54039,18747060,34,21
"377",105466,18747360,140,132
"378",182339,18747900,126,13
"379",182339,18747900,126,13
"380",237706,18837900,44,58
"381",105461,18843600,140,13
"382",105461,18843600,140,126
"383",182329,18855660,126,92
"384",182330,18855660,126,92
"385",182326,18862620,126,92
"386",182326,18862620,126,92
"387",242738,18917940,29,130
"388",237703,18923340,44,22
"389",105455,18923760,140,34
"390",182317,18943800,126,92
"391",242737,18950820,29,130
"392",242737,18950820,29,130
"393",242734,19004400,29,130
"394",242734,19004400,29,130
"395",242732,19029660,29,130
"396",368560,19034880,125,35
"397",368560,19034880,125,125
"398",368560,19034880,125,73
"399",368560,19034880,125,32
"400",368560,19034880,125,111
"401",368560,19034880,125,139
"402",242731,19220400,29,130
"403",242731,19220400,29,130
"404",182303,19264920,126,138
"405",182301,19276380,126,92
"406",182297,19278840,126,92
"407",182296,19278900,126,92
"408",186495,19295940,92,34
"409",186495,19295940,92,126
"410",186495,19295940,92,126
"411",115271,19357860,139,85
"412",115271,19357860,139,85
"413",237698,19371780,44,22
"414",248254,19371780,44,22
"415",182282,19374540,126,34
"416",182282,19374540,126,92
"417",242726,19376280,29,80
"418",242726,19376280,29,80
"419",242725,19376640,29,80
"420",242725,19376640,29,80
"421",182280,19385460,126,128
"422",182277,19453920,126,92
"423",182276,19454640,126,138
"424",182276,19454640,126,92
"425",182276,19454640,126,138
"426",182276,19454640,126,92
"427",242724,19461420,29,139
"428",241792,19461900,29,139
"429",242723,19462080,29,139
"430",337402,19529160,17,128
"431",337407,19559760,17,128
"432",337407,19559760,17,128
"433",337408,19570140,17,71
"434",337408,19570140,17,71
"435",383609,19869840,35,99
"436",115268,19872000,139,29
"437",115267,19872060,139,29
"438",337409,19877040,17,128
"439",337409,19877040,17,71
"440",337409,19877040,17,128
"441",337409,19877040,17,71
"442",337410,19878600,17,71
"443",337410,19878600,17,127
"444",337411,19878600,17,71
"445",337411,19878600,17,127
"446",337412,19878600,17,71
"447",337412,19878600,17,127
"448",337413,19878660,17,71
"449",337413,19878660,17,127
"450",337414,19878720,17,71
"451",337414,19878720,17,127
"452",337415,19878780,17,71
"453",337415,19878780,17,127
"454",337416,19878780,17,71
"455",337416,19878780,17,127
"456",337417,19878840,17,71
"457",337417,19878840,17,127
"458",337418,19878840,17,71
"459",337418,19878840,17,127
"460",337419,19878840,17,71
"461",337419,19878840,17,127
"462",337420,19878840,17,71
"463",337420,19878840,17,127
"464",337422,19878960,17,71
"465",337422,19878960,17,127
"466",337424,19879860,17,71
"467",337424,19879860,17,127
"468",113266,19883220,139,139
"469",113267,19883400,139,139
"470",337426,19884840,17,71
"471",337426,19884840,17,127
"472",54034,19886280,34,45
"473",171748,19886280,34,45
"474",337428,19887840,17,71
"475",337428,19887840,17,127
"476",337429,19887900,17,71
"477",337429,19887900,17,127
"478",337430,19888020,17,71
"479",337430,19888020,17,127
"480",337431,19888800,17,71
"481",337431,19888800,17,127
"482",337432,19889340,17,71
"483",337432,19889340,17,127
"484",337433,19889400,17,71
"485",337433,19889400,17,127
"486",337434,19889760,17,71
"487",337434,19889760,17,127
"488",337435,19889760,17,71
"489",337435,19889760,17,127
"490",337438,19891860,17,71
"491",337438,19891860,17,127
"492",337439,19891920,17,71
"493",337439,19891920,17,127
"494",337440,19891920,17,71
"495",337440,19891920,17,127
"496",337441,19893420,17,128
"497",337441,19893420,17,71
"498",337441,19893420,17,128
"499",337441,19893420,17,71
"500",337442,19895520,17,127
"501",337442,19895520,17,128
"502",337442,19895520,17,71
"503",337442,19895520,17,128
"504",337442,19895520,17,71
"505",337443,19908240,17,17
"506",337443,19908240,17,17
"507",337445,19915200,17,71
"508",337445,19915200,17,71
"509",337450,19955640,17,71
"510",337452,19957080,17,71
"511",337452,19957080,17,127
"512",347701,19958160,17,17
"513",347701,19958160,17,17
"514",337455,19958280,17,17
"515",337455,19958280,17,17
"516",337458,19959480,17,71
"517",337458,19959480,17,127
"518",105438,19961280,140,92
"519",105438,19961280,140,126
